clusterNum	maxK	pItem	pFeature	clusterAlg	distance	avg_silhouette_width
4	6	0.6	1	hc	binary	0.954631101
4	6	0.6	0.8	hc	binary	0.954615128
4	6	0.6	0.6	hc	binary	0.954595879
4	6	0.6	1	pam	binary	0.954512392
4	7	0.6	0.7	hc	binary	0.954489181
4	7	0.6	0.7	pam	binary	0.954359328
4	5	0.6	0.5	pam	binary	0.954293418
4	5	0.6	0.7	pam	binary	0.954281528
4	7	0.6	0.9	hc	binary	0.95423213
4	7	0.6	0.9	pam	binary	0.954111082
4	5	0.6	0.9	pam	binary	0.953870376
4	5	0.6	0.7	hc	binary	0.953592901
4	7	0.6	0.5	pam	binary	0.953536251
4	5	0.6	0.9	hc	binary	0.953365312
4	7	0.6	0.5	hc	binary	0.953275183
4	5	0.6	0.5	hc	binary	0.953234496
4	6	0.6	0.8	pam	binary	0.952371408
4	5	0.5	0.8	hc	binary	0.943328808
4	6	0.5	0.9	pam	binary	0.942612444
4	5	0.5	0.8	pam	binary	0.942586201
4	7	0.5	0.8	hc	binary	0.942576722
4	7	0.5	1	pam	binary	0.942489886
4	5	0.5	0.6	hc	binary	0.94183665
4	5	0.5	0.6	pam	binary	0.941760996
4	7	0.5	0.6	hc	binary	0.941675236
4	6	0.5	0.5	pam	binary	0.941666276
4	6	0.5	0.7	hc	binary	0.941346098
4	6	0.5	0.7	pam	binary	0.941266046
4	6	0.5	0.5	hc	binary	0.941215746
4	5	0.5	1	pam	binary	0.941130701
4	7	0.5	1	hc	binary	0.940937279
4	7	0.5	0.8	pam	binary	0.940540487
4	5	0.5	1	hc	binary	0.940342088
4	6	0.5	0.9	hc	binary	0.940116185
4	7	0.5	0.6	pam	binary	0.939837879
4	5	0.9	0.9	hc	euclidean	0.873987355
4	6	0.9	0.8	hc	euclidean	0.873727578
4	6	0.7	1	hc	euclidean	0.871910081
4	6	0.9	1	hc	euclidean	0.871764114
4	7	0.9	0.9	hc	euclidean	0.869723848
4	5	0.8	1	hc	euclidean	0.868805861
4	6	0.8	0.9	hc	euclidean	0.865287909
4	7	0.8	1	hc	euclidean	0.864251359
4	5	0.8	0.8	hc	euclidean	0.862210056
4	5	0.7	0.9	hc	euclidean	0.856005775
4	6	0.9	1	pam	euclidean	0.856004293
4	7	0.9	0.7	hc	euclidean	0.848356609
4	5	0.9	0.7	hc	euclidean	0.844734207
4	7	0.7	0.9	hc	euclidean	0.844018851
4	7	0.6	1	hc	euclidean	0.841883592
4	6	0.7	0.8	hc	euclidean	0.841246784
4	7	0.8	0.8	hc	euclidean	0.837827635
4	5	0.6	1	hc	euclidean	0.83694427
4	6	0.8	0.7	hc	euclidean	0.836145611
4	6	0.9	0.6	hc	euclidean	0.833496398
4	5	0.7	0.7	hc	euclidean	0.829189475
4	6	0.6	0.9	hc	euclidean	0.828808546
4	7	0.8	0.6	hc	euclidean	0.827398836
4	7	0.7	0.7	hc	euclidean	0.823510821
4	5	0.6	0.8	hc	euclidean	0.8194127
4	6	0.5	1	hc	euclidean	0.818913069
4	6	0.7	0.6	hc	euclidean	0.818481946
4	5	0.5	0.9	hc	euclidean	0.817247882
4	7	0.9	0.5	hc	euclidean	0.817221144
4	5	0.8	0.6	hc	euclidean	0.81660997
4	7	0.6	0.8	hc	euclidean	0.810246837
4	6	0.6	0.7	hc	euclidean	0.810212415
4	6	0.8	0.5	hc	euclidean	0.80949728
4	5	0.7	0.5	hc	euclidean	0.803675418
4	7	0.5	0.9	hc	euclidean	0.799780113
4	7	0.6	0.6	hc	euclidean	0.799659491
4	5	0.6	0.6	hc	euclidean	0.799639048
4	5	0.9	0.5	hc	euclidean	0.795877964
4	7	0.7	0.5	hc	euclidean	0.794135408
4	7	0.5	0.7	hc	euclidean	0.791743855
4	6	0.5	0.8	hc	euclidean	0.790561885
4	5	0.5	0.7	hc	euclidean	0.788042015
4	6	0.5	0.6	hc	euclidean	0.777416605
4	5	0.8	1	pam	euclidean	0.744091012
4	7	0.5	0.5	hc	euclidean	0.743800875
4	6	0.6	0.5	hc	euclidean	0.738466182
4	7	0.8	1	pam	euclidean	0.736654486
4	5	0.5	0.5	hc	euclidean	0.721418884
4	5	0.9	0.9	pam	euclidean	0.656183726
4	7	0.9	0.9	pam	euclidean	0.626316688
4	6	0.7	1	pam	euclidean	0.595140588
4	6	0.8	0.9	pam	euclidean	0.543681992
4	5	0.6	1	pam	euclidean	0.535008438
4	6	0.9	0.8	pam	euclidean	0.512309134
4	7	0.6	1	pam	euclidean	0.501516703
4	5	0.7	0.9	pam	euclidean	0.490616631
4	7	0.7	0.9	pam	euclidean	0.488090135
4	7	0.8	0.8	pam	euclidean	0.472437786
4	5	0.8	0.8	pam	euclidean	0.46776202
4	6	0.6	0.9	pam	euclidean	0.426231815
4	5	0.9	0.7	pam	euclidean	0.409807413
4	7	0.9	0.7	pam	euclidean	0.407578975
4	6	0.7	0.8	pam	euclidean	0.397989033
4	6	0.8	0.7	pam	euclidean	0.380944869
4	7	0.6	0.8	pam	euclidean	0.364137414
4	6	0.5	1	pam	euclidean	0.358147817
4	7	0.5	0.9	pam	euclidean	0.348713647
4	5	0.6	0.8	pam	euclidean	0.344229654
4	7	0.7	0.7	pam	euclidean	0.338871922
4	5	0.5	0.9	pam	euclidean	0.327062964
4	5	0.7	0.7	pam	euclidean	0.316459971
4	6	0.5	0.8	pam	euclidean	0.313185738
4	6	0.9	0.6	pam	euclidean	0.309029242
4	6	0.6	0.7	pam	euclidean	0.286848741
4	6	0.7	0.6	pam	euclidean	0.277144147
4	7	0.5	0.7	pam	euclidean	0.269700877
4	5	0.8	0.6	pam	euclidean	0.265052142
4	7	0.8	0.6	pam	euclidean	0.247002236
4	5	0.5	0.7	pam	euclidean	0.24493315
4	5	0.6	0.6	pam	euclidean	0.242461813
4	6	0.8	0.5	pam	euclidean	0.237925368
4	5	0.7	0.5	pam	euclidean	0.236308562
4	5	0.9	0.5	pam	euclidean	0.234027143
4	7	0.9	0.5	pam	euclidean	0.228922801
4	5	0.5	0.5	pam	euclidean	0.221775149
4	7	0.5	0.5	pam	euclidean	0.218925595
4	6	0.5	0.6	pam	euclidean	0.214244729
4	7	0.6	0.6	pam	euclidean	0.187232247
4	6	0.6	0.5	pam	euclidean	0.186325457
4	7	0.7	0.5	pam	euclidean	0.150834489
5	6	0.6	1	hc	minkowski	0.842064978
5	6	0.9	1	hc	manhattan	0.84110454
5	7	0.9	1	pam	minkowski	0.841052273
5	5	0.9	1	hc	minkowski	0.832712543
5	5	0.9	0.8	hc	minkowski	0.814304938
5	5	0.9	0.6	hc	minkowski	0.811728683
5	5	0.8	0.7	hc	minkowski	0.81061368
5	5	0.9	1	pam	minkowski	0.810116483
5	6	0.7	0.9	hc	minkowski	0.810094411
5	7	0.8	0.7	hc	minkowski	0.808046017
5	6	0.9	0.7	hc	minkowski	0.806231712
5	6	0.8	0.6	hc	minkowski	0.802451754
5	7	0.5	1	hc	minkowski	0.800776421
5	7	0.9	0.6	hc	minkowski	0.800574715
5	6	0.8	1	hc	minkowski	0.797761318
5	6	0.8	0.8	hc	minkowski	0.795452511
